epoch 26 iteration100, G Loss: 0.727816641330719, D Loss: 1.385559320449829
epoch 26 iteration200, G Loss: 0.7189095616340637, D Loss: 1.3866899013519287
epoch 26 iteration300, G Loss: 0.7201204895973206, D Loss: 1.3872817754745483
epoch 27 iteration100, G Loss: 0.7228517532348633, D Loss: 1.387288212776184
epoch 27 iteration200, G Loss: 0.7035505175590515, D Loss: 1.3878265619277954
epoch 27 iteration100, G Loss: 0.7519431710243225, D Loss: 1.3861725330352783
epoch 27 iteration200, G Loss: 0.7325851321220398, D Loss: 1.3864037990570068
epoch 27 iteration300, G Loss: 0.7315589189529419, D Loss: 1.3856834173202515
epoch 28 iteration100, G Loss: 0.7226362228393555, D Loss: 1.3857982158660889
epoch 28 iteration200, G Loss: 0.7266297936439514, D Loss: 1.3850187063217163
epoch 28 iteration300, G Loss: 0.7230188250541687, D Loss: 1.3869240283966064
epoch 29 iteration100, G Loss: 0.7307214140892029, D Loss: 1.3859801292419434
epoch 29 iteration200, G Loss: 0.7060108184814453, D Loss: 1.3870337009429932
epoch 29 iteration300, G Loss: 0.7269541621208191, D Loss: 1.386054277420044
epoch 30 iteration100, G Loss: 0.7352926731109619, D Loss: 1.385927438735962
epoch 30 iteration200, G Loss: 0.7185441851615906, D Loss: 1.3883678913116455
epoch 30 iteration300, G Loss: 0.721817672252655, D Loss: 1.386802077293396
epoch 31 iteration100, G Loss: 0.7324494123458862, D Loss: 1.3873482942581177
epoch 31 iteration200, G Loss: 0.7291597127914429, D Loss: 1.3875224590301514
epoch 31 iteration300, G Loss: 0.7213315963745117, D Loss: 1.3880267143249512
epoch 32 iteration100, G Loss: 0.7171292901039124, D Loss: 1.3867007493972778
epoch 32 iteration200, G Loss: 0.7209985256195068, D Loss: 1.3865692615509033
epoch 32 iteration300, G Loss: 0.7270140647888184, D Loss: 1.3858685493469238
epoch 33 iteration100, G Loss: 0.7132760882377625, D Loss: 1.3867907524108887
epoch 33 iteration200, G Loss: 0.7229827046394348, D Loss: 1.3847596645355225
epoch 33 iteration100, G Loss: 0.7188568115234375, D Loss: 1.3862717151641846
epoch 33 iteration200, G Loss: 0.722661554813385, D Loss: 1.3863033056259155
epoch 33 iteration300, G Loss: 0.7229872941970825, D Loss: 1.3878397941589355
epoch 34 iteration100, G Loss: 0.7182056903839111, D Loss: 1.3871382474899292
epoch 34 iteration200, G Loss: 0.7276841402053833, D Loss: 1.3873567581176758
